trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
2020-03-09 15:09:26,577588686219,fraud_Towne LLC,misc_pos,194.51,James,Strickland,M,25454 Leonard Lake,Spring Church,PA,15686,40.6153,-79.4545,972,Public relations account executive,1997-10-23,fff87d4340ef756a592eac652493cf6b,1362841766,40.420453,-78.865012,0,15909.0
2019-08-22 15:49:01,30376238035123,fraud_Friesen Ltd,health_fitness,52.32,Cynthia,Davis,F,7177 Steven Forges,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1928-10-01,d0ad335af432f35578eea01d639b3621,1345650541,42.75886,-123.636337,0,
2019-03-04 01:34:16,4658490815480264,fraud_Mohr Inc,shopping_pos,6.53,Tara,Richards,F,4879 Cristina Station,Keisterville,PA,15449,39.9636,-79.7853,184,Systems developer,1945-11-04,87f26e3ea33f4ff4c7a8bad2c7f48686,1330824856,40.475159000000005,-78.89819,0,15961.0
2020-06-16 20:04:38,3514897282719543,fraud_Gaylord-Powlowski,home,7.33,Steven,Faulkner,M,841 Cheryl Centers Suite 115,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13,9c34015321c0fa2ae6fd20f9359d1d3e,1371413078,43.767506,-76.542384,0,
2019-05-14 05:54:48,6011381817520024,"fraud_Christiansen, Goyette and Schamberger",gas_transport,64.29,Kristen,Allen,F,8619 Lisa Manors Apt. 871,Lagrange,WY,82221,41.6423,-104.1974,635,Product/process development scientist,1973-07-13,198437c05676f485e9be04449c664475,1336974888,41.040392,-104.092324,0,82082.0
2019-06-28 10:46:05,4855488158131690372,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,129.8,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,1993-09-29,2203dd06764180b6314dca2b21df2494,1340880365,44.272392,-72.743707,0,5660.0
2020-01-23 09:09:59,30427035050508,fraud_Kuhic Inc,grocery_pos,111.1,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,1969-11-20,7b44d808a40f8ac414736be6a038e83c,1358932199,42.170491,-83.291412,0,48180.0
2020-01-30 11:23:44,213120463918358,"fraud_Douglas, Schneider and Turner",shopping_pos,8.43,Willie,Jordan,M,529 West Key,Spearsville,LA,71277,32.955,-92.587,1758,"Psychologist, forensic",1957-08-08,c5b880abe58cd5eedbda555cdb302d86,1359545024,32.019064,-91.779016,0,71243.0
2019-03-11 10:35:53,6597888193422452,fraud_Hickle Group,shopping_pos,2.36,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,1964-08-23,91376d8059070c4c481a6b47e763b195,1331462153,32.913817,-99.093146,0,76491.0
2020-04-12 18:50:07,4809701904914,fraud_Bahringer-Streich,food_dining,88.0,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,1984-02-07,f8a5ece3bf61877d1cab6dde1ec687ce,1365792607,32.167677000000005,-85.957662,0,36029.0
